Spider VIP firmware — Satellites summary
Source: /usr/local/default/default_data.xml
Total satellites : 227
Total transponders: 6824
==================================================
     POS  COUNT       SATELLITE
   37.5W    35 TP   37.5W Ku-band NSS 10 & Telstar 11N
   34.6W     2 TP   34.5W C-band Intelsat 35e
   34.5W     3 TP   34.5W Ku-band Intelsat 35e
   31.6W     1 TP   31.5W C-band Intelsat 25
   31.5W     2 TP   31.5W Ku-band Intelsat 25
   24.6W     8 TP   24.5W C-band Intelsat 905 & Alcomsat 1
   24.5W    87 TP   24.5W Ku-band Intelsat 905 & Alcomsat 1
   22.1W    32 TP   22.0W C-band SES 4
   22.0W    50 TP   22.0W Ku-band SES 4
   20.1W     2 TP   20.0W C-band NSS 7
   20.0W     7 TP   20.0W Ku-band NSS 7
   18.1W    13 TP   18.0W C-band Intelsat 37e
   18.0W     1 TP   18.0W Ku-band Intelsat 37e
   15.0W    22 TP   15.0W Telstar 12 Vantage
   14.0W     7 TP   14.0W Express AM8
   12.7W     1 TP   12.5W Ka-band Eutelsat 12 West B & WGS 3
   12.5W    77 TP   12.5W Ku-band Eutelsat 12 West B & WGS 3
   11.1W     2 TP   11.0W C-band Express AM44
   11.0W    37 TP   11.0W Ku-band Express AM44
    8.1W    27 TP   8.0W C-band Eutelsat 8 West B
    8.0W    67 TP   8.0W Ku-band Eutelsat 8 West B
    4.0W    47 TP   4.0W Amos 3/7
    3.1W    12 TP   3.0W C-band ABS 3A
    3.0W    61 TP   3.0W Ku-band ABS 3A
    1.9E     4 TP   1.9E BulgariaSat 1
    3.0E   102 TP   3.0E Ku-band Eutelsat 3B & Rascom QAF 1R
    3.1E    23 TP   3.0E C-band Eutelsat 3B & Rascom QAF 1R
    7.0E   134 TP   7.0E Ku-band Eutelsat 7B/7C
    7.2E    11 TP   7.0E Ka-band Eutelsat 7B/7C
   10.0E   225 TP   10.0E Ku-band Eutelsat 10A
   10.1E    27 TP   10.0E C-band Eutelsat 10A
   17.0E     6 TP   17.0E Amos 17
   20.1E    11 TP   20.0E C-band Arabsat 5C
   21.6E   135 TP   21.6E Eutelsat 21B
   25.5E    13 TP   25.5E Ku-band Eshail 1
   28.2E   130 TP   28.2E Astra 2E/2F/2G
   30.5E    69 TP   30.5E Ku-band Arabsat 5A/6A
   30.6E     8 TP   30.5E C-band Arabsat 5A/6A
   31.5E    14 TP   31.5E Astra 5B
   33.0E    41 TP   33.0E Eutelsat 33E & Intelsat 28
   36.0E   133 TP   36.0E Eutelsat 36B & Express AMU1
   38.0E    16 TP   38.0E Ku-band Paksat 1R
   38.1E    50 TP   38.0E C-band Paksat 1R
   39.0E    60 TP   39.0E Hellas Sat 3/4
   40.0E     6 TP   40.0E Ku-band Express AM7
   40.1E   113 TP   40.0E C-band Express AM7
   42.0E   166 TP   42.0E Ku-band Türksat 3A/4A
   42.5E     2 TP   42.5E Ku-band NigComSat 1R
   42.6E     1 TP   42.5E C-band NigComSat 1R
   45.0E    17 TP   45.0E AzerSpace 2/Intelsat 38
   46.0E    38 TP   46.0E Ku-band AzerSpace 1/Africasat 1a
   46.1E    37 TP   46.0E C-band AzerSpace 1/Africasat 1a
   47.5E    23 TP   47.5E Intelsat 10
   49.1E     4 TP   49.0E C-band Yamal 601
   52.0E    19 TP   52.0E TurkmenÄlem/MonacoSat
   52.5E    13 TP   52.5E Al Yah 1
   53.0E    42 TP   53.0E Ku-band Express AM6
   53.1E    30 TP   53.0E C-band Express AM6
   54.9E    42 TP   54.9E Ku-band G-Sat 8/16 & Yamal 402
   56.0E    24 TP   56.0E Express
   57.0E    34 TP   57.0E Ku-band NSS 12
   57.1E    18 TP   57.0E C-band NSS 12
   58.5E    12 TP   58.5E KazSat 3
   60.0E     7 TP   60.0E Ku-band Intelsat 33e
   60.1E     8 TP   60.0E C-band Intelsat 33e
   62.0E    22 TP   62.0E Ku-band Intelsat 39
   62.1E     5 TP   62.0E C-band Intelsat 39
   64.2E     5 TP   64.2E Ku-band Intelsat 906
   64.3E     9 TP   64.2E C-band Intelsat 906
   65.0E    10 TP   65.0E Amos 4
   66.0E    18 TP   66.0E Ku-band Intelsat 17
   66.1E    16 TP   66.0E C-band Intelsat 17
   68.5E    60 TP   68.5E Ku-band Intelsat 20/36
   68.6E    57 TP   68.5E C-band Intelsat 20/36
   70.5E    27 TP   70.5E Eutelsat 70B
   75.0E    26 TP   75.0E Ku-band ABS 2/2A
   75.1E    28 TP   75.0E C-band ABS 2/2A
   76.6E    37 TP   76.5E C-band Apstar 7
   83.0E    24 TP   83.0E Ku-band G-Sat 10/30/31
   83.1E    43 TP   83.0E C-band G-Sat 10/30/31
   85.0E    31 TP   85.0E Horizons 2 & Intelsat 15
   86.5E    20 TP   86.5E KazSat 2
   87.6E    27 TP   87.5E C-band ChinaSat 12
   88.0E    19 TP   88.0E Ku-band ST 2
   90.0E    28 TP   90.0E Ku-band Yamal 401
   90.1E    49 TP   90.0E C-band Yamal 401
   91.6E    55 TP   91.5E C-band Measat 3/3a/3b
   93.5E    19 TP   93.5E Ku-band G-Sat 15/17
   93.6E    50 TP   93.5E C-band G-Sat 15/17
   95.0E    12 TP   95.0E SES 8
   96.5E     8 TP   96.5E Ku-band Express AM33
   96.6E     3 TP   96.5E C-band Express AM33
  100.5E    24 TP   100.5E Ku-band AsiaSat 5
  100.6E    57 TP   100.5E C-band AsiaSat 5
  105.6E    44 TP   105.5E C-band AsiaSat 7
  108.2E    31 TP   108.2E Ku-band SES 7/9 & Telkom 4
  108.3E    27 TP   108.2E C-band SES 7/9 & Telkom 4
  113.0E    22 TP   113.0E Ku-band Koreasat 5/5A & Palapa D
  113.1E    54 TP   113.0E C-band Koreasat 5/5A & Palapa D
  115.6E    43 TP   115.5E C-band ChinaSat 6B
  116.0E    35 TP   116.0E ABS 7 & Koreasat 6/7
  119.3E    14 TP   119.3E Thaicom 4 & Bangabandhu 1
  120.1E     7 TP   120.0E C-band AsiaSat 6/Thaicom 7
  122.0E     2 TP   122.0E Ku-band AsiaSat 9
  122.1E    10 TP   122.0E C-band AsiaSat 9
  124.0E    24 TP   124.0E JCSAT 4B
  125.1E    38 TP   125.0E C-band ChinaSat 6A
  132.0E    20 TP   132.0E Ku-band JCSAT 5A & Vinasat 1/2
  132.1E     7 TP   132.0E C-band JCSAT 5A & Vinasat 1/2
  134.0E     6 TP   134.0E Ku-band Apstar 6C
  134.1E    15 TP   134.0E C-band Apstar 6C
  138.0E    11 TP   138.0E Ku-band Telstar 18 Vantage
  138.1E    19 TP   138.0E C-band Telstar 18 Vantage
  140.0E    16 TP   140.0E Ku-band Express AM5/AT2
  140.1E    13 TP   140.0E C-band Express AM5/AT2
  144.0E    12 TP   144.0E Superbird C2
  152.0E    16 TP   152.0E Optus D2
  154.0E    13 TP   154.0E Ku-band JCSAT 2B
  156.0E    36 TP   156.0E Optus D3/10
  159.0E     1 TP   159.0E Ku-band ABS 6
  159.1E     4 TP   159.0E C-band ABS 6
  160.0E    33 TP   160.0E Optus D1
  166.0E    16 TP   166.0E Ku-band Intelsat 19
  166.1E    27 TP   166.0E C-band Intelsat 19
  169.0E     4 TP   169.0E Horizons 3e
  172.0E     4 TP   172.0E Ku-band Eutelsat 172B
  172.1E     4 TP   172.0E C-band Eutelsat 172B
